XENON1T Cabling Map,,,,,,,,,,,
Date: 2015-05-08,,,,,,,,,,,
,,,,,,,,,,,
PMT Location,PMT Serial Number,Top/Bottom,ADC,ADC ID,Signal Connector,Signal FT,Amp,HV,HV Connector,HV Return,HV FT
0,511,top,11.1,127,3.05,1,7.1,3.05,3.05,3,0
1,602,top,14,54,5,1,0,5,5,5,1
2,513,top,15,78,5.01,1,0.08,5.01,5.01,5,1
3,479,top,14.1,79,5.02,1,1,5.02,5.02,5,1
4,519,top,15.1,54,5.03,1,0.01,5.03,5.03,5,1
5,419,top,14.2,78,5.04,1,1.09,5.04,5.04,5,1
6,779,top,15.2,79,5.05,1,1.01,5.05,5.05,5,1
7,496,top,0,80,0,0,1.08,0,0,0,0
8,877,top,1,89,0.01,0,2,0.01,0.01,0,0
9,885,top,2,95,0.02,0,2.08,0.02,0.02,0,0
10,469,top,0.1,80,0.03,0,1.09,0.03,0.03,0,0
11,140,top,1.1,89,0.04,0,2.01,0.04,0.04,0,0
12,432,top,2.1,95,0.05,0,2.09,0.05,0.05,0,0
13,634,top,6,80,2,0,1.1,2,2,2,0
14,413,top,7,102,2.01,0,3,2.01,2.01,2,0
15,538,top,8,106,2.02,0,3.08,2.02,2.02,2,0
16,915,top,6.1,107,2.03,0,4,2.03,2.03,2,0
17,535,top,7.1,102,2.04,0,3.01,2.04,2.04,2,0
18,531,top,8.1,106,2.05,0,3.09,2.05,2.05,2,0
19,447,top,12,107,4,1,4.01,4,4,4,1
20,444,top,13,102,4.01,1,3.02,4.01,4.01,4,1
21,579,top,12.1,108,4.02,1,4.08,4.02,4.02,4,1
22,611,top,13.1,110,4.03,1,5,4.03,4.03,4,1
23,614,top,12.2,115,4.04,1,5.08,4.04,4.04,4,1
24,553,top,13.2,108,4.05,1,4.09,4.05,4.05,4,1
25,764,top,3,115,1,0,5.09,1,1,1,0
26,149,top,4,110,1.01,0,5.01,1.01,1.01,1,0
27,509,top,5,117,1.02,0,6,1.02,1.02,1,0
28,524,top,3.1,121,1.03,0,6.08,1.03,1.03,1,0
29,527,top,4.1,117,1.04,0,6.01,1.04,1.04,1,0
30,545,top,5.1,121,1.05,0,6.09,1.05,1.05,1,0
31,508,top,9,117,3,1,6.02,3,3,3,0
32,471,top,10,124,3.01,1,7,3.01,3.01,3,0
33,529,top,11,127,3.02,1,7.08,3.02,3.02,3,0
34,547,top,9.1,127,3.03,1,7.09,3.03,3.03,3,0
35,830,top,10.1,124,3.04,1,7.01,3.04,3.04,3,0
36,428,top,9.3,127,3.1,1,7.11,3.1,3.1,3,0
37,745,top,10.3,124,3.11,1,7.03,3.11,3.11,3,0
38,826,top,15.3,79,5.06,1,1.02,5.06,5.06,5,1
39,832,top,14.3,54,5.07,1,0.02,5.07,5.07,5,1
40,598,top,15.4,78,5.08,1,0.1,5.08,5.08,5,1
41,455,top,14.4,79,5.09,1,1.03,5.09,5.09,5,1
42,153,top,2.2,54,0.06,0,0.03,0.06,0.06,0,0
43,448,top,0.2,95,0.07,0,2.1,0.07,0.07,0,0
44,211,top,1.2,80,0.08,0,1.11,0.08,0.08,0,0
45,506,top,2.3,89,0.09,0,2.02,0.09,0.09,0,0
46,417,top,0.3,95,0.1,0,2.11,0.1,0.1,0,0
47,549,top,8.2,80,2.06,0,1.12,2.06,2.06,2,0
48,667,top,6.2,89,2.07,0,2.03,2.07,2.07,2,0
49,790,top,7.2,106,2.08,0,3.1,2.08,2.08,2,0
50,824,top,8.3,102,2.09,0,3.03,2.09,2.09,2,0
51,825,top,6.3,106,2.1,0,3.11,2.1,2.1,2,0
52,507,top,7.3,107,2.11,0,4.02,2.11,2.11,2,0
53,530,top,13.3,102,4.06,1,3.04,4.06,4.06,4,1
54,795,top,12.3,107,4.07,1,4.03,4.07,4.07,4,1
55,421,top,13.4,115,4.08,1,5.1,4.08,4.08,4,1
56,813,top,12.4,108,4.09,1,4.1,4.09,4.09,4,1
57,472,top,5.2,115,1.06,0,5.11,1.06,1.06,1,0
58,487,top,3.2,110,1.07,0,5.02,1.07,1.07,1,0
59,564,top,4.2,108,1.08,0,4.11,1.08,1.08,1,0
60,610,top,5.3,121,1.09,0,6.1,1.09,1.09,1,0
61,655,top,3.3,117,1.1,0,6.03,1.1,1.1,1,0
62,665,top,11.2,121,3.06,1,6.11,3.06,3.06,3,0
63,856,top,9.2,117,3.07,1,6.04,3.07,3.07,3,0
